Confucious|Never give a word to a man who can't dance
Confucious|Imagination is more important than knowledge
Zhuangzi|Life comes from the earth and life returns to the earth
William Osler|We are here to add what we can to life, not to get what we can from life
William Hazlitt|The art of life is to know how to enjoy a little and to endure very much
Wayne Dyer|If you change the way you look at things, the things you look at change
Vince Lombardi|Perfection is not attainable. But if we chase perfection we can catch excellence
Theodore Roosevelt|Believe you can and you're halfway there
Stephen Covey|Live out of your imagination, not your history
Steve Jobs|The most important thing is to enjoy your life—to be happy—it’s all that matters
Mother Teresa|Spread love everywhere you go. Let no one ever come without leaving happier
Oscar Wilde|Be yourself, everyone else is already taken
Oprah Winfrey|The biggest adventure you can take is to live the life of your dreams
Franklin D. Roosevelt|The only thing we have to fear is fear itself
Michael Jordan|I can accept failure, everyone fails at something. But I can’t accept not trying
Tony Robbins|You’ve got to be in it to win it
Confucious|It does not matter how slowly you go, as long as you do not stop
Norman Vincent Peale|When you change your thoughts, remember to also change your world
Stephanie Perkins|The more you know who you are, and what you want, the less you let things upset you
